,学生id,选课,
35,Student34,"程序设计基础,创新创业基础,大学生心理健康教育,创业启程,通用学术英语,汉语文字词汇,高等数学,计算机文化基础1,中国近现代史纲要纲要,大学物理,通用学术英语,高等数学,高技术与现代局部战争,Java程序设计,思想道德修养与法律基础,线性代数2,工程职业伦理1,大学物理,数理统计及概率论,理工学术英语1,马克思主义基本原理,数据结构,数字集成电路分析与设计3,Web基础,大学计算机基础与应用,毛泽东思想和中国特色社会主义理论体系概论,软件工程,交互设计,数据库原理与应用,计算机辅助设计,影视鉴赏,金融工程,营养与健康,操作系统,高级语言程序设计,计算机网络,软件理论基础,高级大数据系统,数学建模,文化创意产业导论,信息技术与教育应用,工程职业伦理,人工智能,软件理论基础,项目管理,测试系统集成技术,工程职业伦理,知识产权法与创新保护,C++语言程序设计基础",
36,Student35,"程序设计基础,创新创业基础,大学生心理健康教育,创业启程,通用学术英语,汉语文字词汇,高等数学,计算机文化基础1,中国近现代史纲要纲要,大学物理,通用学术英语,高等数学,高技术与现代局部战争,Java程序设计,思想道德修养与法律基础,线性代数2,工程职业伦理1,大学物理,数理统计及概率论,理工学术英语1,马克思主义基本原理,数据结构,数字集成电路分析与设计3,Web基础,大学计算机基础与应用,毛泽东思想和中国特色社会主义理论体系概论,软件工程,交互设计,数据库原理与应用,C语言程序设计,创客培养：趣味力学实验与制作,汇编语言程序设计,如何写好科研论文,足球运动与科学,社会研究方法,操作系统,C++语言程序设计基础,高级语言程序设计,计算机网络,篮球——基本技术,程序设计基础,高级大数据系统,数据挖掘：理论与算法,信息技术与教育应用,大数据系统基础,工程职业伦理,计算机操作系统,软件理论基础,项目管理,测试系统集成技术,工程职业伦理,知识产权法与创新保护",
37,Student36,"程序设计基础,创新创业基础,大学生心理健康教育,创业启程,通用学术英语,汉语文字词汇,高等数学,计算机文化基础1,中国近现代史纲要纲要,大学物理,通用学术英语,高等数学,高技术与现代局部战争,Java程序设计,思想道德修养与法律基础,线性代数2,工程职业伦理1,大学物理,数理统计及概率论,理工学术英语1,马克思主义基本原理,数据结构,数字集成电路分析与设计3,Web基础,大学计算机基础与应用,毛泽东思想和中国特色社会主义理论体系概论,软件工程,交互设计,数据库原理与应用,C++语言程序设计进阶,汇编语言程序设计,C++语言程序设计基础,邮票上的昆虫世界,影视鉴赏,操作系统,高级语言程序设计,计算机网络,中国民俗文化赏析,程序设计基础,高级大数据系统,数据挖掘：理论与算法,教育学导引,大数据系统基础,工程职业伦理,人工智能,软件理论基础,项目管理,测试系统集成技术,工程职业伦理,知识产权法与创新保护,C++语言程序设计基础",
39,Student37,"创新创新创业基础,大学生心理健康教育,创业启程,通用学术英语,电工电子技术,高等数学,工程制图,高技术与现代局部战争,计算思维导论,程序设计基础,大学物理,通用学术英语,汉语文字词汇,高等数学,Java程序设计,线性代数,中国近现代史纲要纲要,工程职业伦理,数理统计及概率论,理工学术英语,计算机文化基础,运动与关节健康,互联网金融,马克思主义基本原理,数据结构,数字集成电路分析与设计,Web基础,大学计算机基础与应用,足球运动与科学,毛泽东思想和中国特色社会主义理论体系概论,软件工程,交互设计,数据库系统原理与开发,思想道德修养与法律基础,操作系统,高级语言程序设计,计算机网络,软件理论基础,高级大数据系统,数学建模,大数据系统基础,人工智能,软件理论基础,中级管理会计,测试系统集成技术,工程职业伦理,知识产权法与创新保护",
40,Student38,"创业启程,工程伦理,工程制图,高技术与现代局部战争,电工电子技术,工程制图实践,理论力学,材料学概论,程序设计基础,通用学术英语,高等数学,材料现代研究方法,机械原理,中国近现代史纲要纲要,大学物理,通用学术英语,电工电子技术,高等数学,动态测试与分析（上）,动态测试与分析（下）,Java程序设计,思想道德修养与法律基础,线性代数,创新创新创业基础,工程职业伦理,大学物理,数理统计及概率论,理工学术英语,计算机文化基础,马克思主义基本原理,数据结构,电路原理,Web基础,汉语文字词汇,理工学术英语,大学计算机基础与应用,毛泽东思想和中国特色社会主义理论体系概论,软件工程,交互设计,数据库系统原理与开发,操作系统,高级语言程序设计,计算机网络,软件理论基础,高级大数据系统,数据挖掘：理论与算法,信息技术与教育应用,商学导论：10节课带你走进商业世界,大学生心理健康教育,工程职业伦理,人工智能,软件理论基础,项目管理,测试系统集成技术,逻辑思维与写作,工程职业伦理,知识产权法与创新保护",
41,Student39,"创业启程,工程制图,高技术与现代局部战争,电工电子技术,工程伦理,工程制图实践,理论力学,材料学概论,程序设计基础,高等数学,材料现代研究方法,工程伦理,机械原理,中国近现代史纲要纲要,大学物理,通用学术英语,电工电子技术,高等数学,动态测试与分析（上）,动态测试与分析（下）,Java程序设计,思想道德修养与法律基础,线性代数,创业导引——与创业名家面对面,工程职业伦理,大学物理,数理统计及概率论,理工学术英语,计算机文化基础,大学国文（上）,数据结构,电路原理,Web基础,汉语文字词汇,理工学术英语,大学计算机基础与应用,毛泽东思想和中国特色社会主义理论体系概论,软件工程,交互设计,数据库系统原理与开发,操作系统,高级语言程序设计,计算机网络,程序设计基础,高级大数据系统,数据挖掘：理论与算法,信息技术与教育应用,大学生心理健康教育,工程职业伦理,人工智能,软件理论基础,项目管理,测试系统集成技术,逻辑思维与写作,工程职业伦理,知识产权法与创新保护,C++语言程序设计基础",
42,Student40,"程序设计基础,创新创业基础,大学生心理健康教育,创业启程,通用学术英语,汉语文字词汇,高等数学,计算机文化基础1,中国近现代史纲要纲要,大学物理,通用学术英语,高等数学,高技术与现代局部战争,Java程序设计,思想道德修养与法律基础,线性代数2,工程职业伦理1,大学物理,数理统计及概率论,理工学术英语1,马克思主义基本原理,数据结构,数字集成电路分析与设计3,Web基础,大学计算机基础与应用,毛泽东思想和中国特色社会主义理论体系概论,软件工程,交互设计,数据库原理与应用,C语言程序设计,习近平新时代中国特色社会主义思想：新发展理念,C++语言程序设计进阶,汇编语言程序设计,信息素养-互联网+时代的学习与生活,电子政务,社会研究方法,营养与健康,经济学,Python 交互式程序设计导论,创新创新创业基础,工程职业伦理,大学物理,数理统计及概率论,微观经济学原理,理工学术英语,计算机文化基础,高级语言程序设计,C++语言程序设计基础,数据结构,程序设计基础,创业导引——与创业名家面对面",
43,Student41,"程序设计基础,创新创业基础,大学生心理健康教育,创业启程,通用学术英语,汉语文字词汇,高等数学,计算机文化基础1,中国近现代史纲要纲要,大学物理,通用学术英语,高等数学,高技术与现代局部战争,Java程序设计,思想道德修养与法律基础,线性代数2,工程职业伦理1,大学物理,数理统计及概率论,理工学术英语1,马克思主义基本原理,数据结构,数字集成电路分析与设计3,Web基础,大学计算机基础与应用,毛泽东思想和中国特色社会主义理论体系概论,软件工程,交互设计,数据库原理与应用,Python 交互式程序设计导论,C++语言程序设计基础,商务礼仪,经济学,操作系统,高级语言程序设计,计算机网络,日本文化与优秀影视作品赏析,程序设计基础,高级大数据系统,数据挖掘：理论与算法,大数据系统基础,人工智能,软件理论基础,测试系统集成技术,工程职业伦理实践,知识产权法与创新保护,C++语言程序设计基础",
44,Student42,"程序设计基础,创新创业基础,大学生心理健康教育,创业启程,通用学术英语,汉语文字词汇,高等数学,计算机文化基础1,中国近现代史纲要纲要,大学物理,通用学术英语,高等数学,高技术与现代局部战争,Java程序设计,思想道德修养与法律基础,线性代数2,工程职业伦理1,大学物理,数理统计及概率论,理工学术英语1,马克思主义基本原理,数据结构,数字集成电路分析与设计3,Web基础,大学计算机基础与应用,毛泽东思想和中国特色社会主义理论体系概论,软件工程,交互设计,数据库原理与应用,C语言程序设计,Python 交互式程序设计导论,中国民俗文化赏析,大学历史与文化,影视鉴赏,操作系统,高级语言程序设计,计算机网络,美术鉴赏鉴赏,软件理论基础社会生物学,高级大数据系统,数据挖掘：理论与算法,大数据系统基础,人工智能,程序设计基础,项目管理,测试系统集成技术,工程职业伦理实践,知识产权法与创新保护,C++语言程序设计基础",
45,Student43,"程序设计基础,创新创业基础,大学生心理健康教育,创业启程,通用学术英语,汉语文字词汇,高等数学,计算机文化基础1,中国近现代史纲要纲要,大学物理,通用学术英语,高等数学,高技术与现代局部战争,Java程序设计,思想道德修养与法律基础,线性代数2,工程职业伦理1,大学物理,数理统计及概率论,理工学术英语1,马克思主义基本原理,数据结构,数字集成电路分析与设计3,Web基础,大学计算机基础与应用,毛泽东思想和中国特色社会主义理论体系概论,软件工程,交互设计,数据库原理与应用,C语言程序设计,艺术与审美,Python 交互式程序设计导论,学在南哲：哲学与哲人,不朽的艺术：走进大师与经典,从音乐到影像,食物与健康,操作系统,高级语言程序设计,计算机网络,程序设计基础,高级大数据系统,数据挖掘：理论与算法,大数据系统基础,人工智能,软件理论基础,项目管理,测试系统集成技术,工程职业伦理实践,知识产权法与创新保护,C++语言程序设计基础",
46,Student44,"程序设计基础,创新创业基础,大学生心理健康教育,创业启程,通用学术英语,汉语文字词汇,高等数学,计算机文化基础1,中国近现代史纲要纲要,大学物理,通用学术英语,高等数学,高技术与现代局部战争,Java程序设计,思想道德修养与法律基础,线性代数2,工程职业伦理1,大学物理,数理统计及概率论,理工学术英语1,马克思主义基本原理,数据结构,数字集成电路分析与设计3,Web基础,大学计算机基础与应用,毛泽东思想和中国特色社会主义理论体系概论,软件工程,交互设计,数据库原理与应用,网络安全概述,工业生产管理概论,民族科学运动与健康运动与健康管理,设计的人因与文化,操作系统,计算机网络,跨平台脚本与开放平台技术,软件理论基础,数据挖掘：理论与算法,移动应用开发基础(Andrid),大数据系统基础,人工智能,软件理论基础,项目管理,移动应用开发拓展(Andrid),知识产权法与创新保护,Python 交互式程序设计导论",
47,Student45,"程序设计基础,创新创业基础,大学生心理健康教育,创业启程,通用学术英语,汉语文字词汇,高等数学,计算机文化基础1,中国近现代史纲要纲要,大学物理,通用学术英语,高等数学,高技术与现代局部战争,Java程序设计,思想道德修养与法律基础,线性代数2,工程职业伦理1,大学物理,数理统计及概率论,理工学术英语1,马克思主义基本原理,数据结构,数字集成电路分析与设计3,Web基础,大学计算机基础与应用,毛泽东思想和中国特色社会主义理论体系概论,软件工程,交互设计,数据库原理与应用,内部控制与风险管理,工业生产管理概论,Python 交互式程序设计导论,设计的人因与文化,操作系统,物理化学,高级语言程序设计,计算机网络,软件理论基础,高级大数据系统,数学建模,大数据系统基础,人工智能,软件理论基础,项目管理,项目管理,测试系统集成技术,工程职业伦理实践,知识产权法与创新保护,C++语言程序设计基础,网络安全概述",
48,Student46,"程序设计基础,创新创业基础,大学生心理健康教育,创业启程,通用学术英语,汉语文字词汇,高等数学,计算机文化基础1,中国近现代史纲要纲要,大学物理,通用学术英语,高等数学,高技术与现代局部战争,Java程序设计,思想道德修养与法律基础,线性代数2,工程职业伦理1,大学物理,数理统计及概率论,理工学术英语1,马克思主义基本原理,数据结构,数字集成电路分析与设计3,Web基础,大学计算机基础与应用,毛泽东思想和中国特色社会主义理论体系概论,软件工程,交互设计,数据库原理与应用,生活英语读写,Python 交互式程序设计导论,《红楼梦》的空间艺术,设计的人因与文化,数学模型(特色),操作系统,高级语言程序设计,计算机网络,软件理论基础,高级大数据系统,信息技术与教育应用,营养与健康,大数据系统基础,人工智能,软件理论基础,项目管理,测试系统集成技术,工程职业伦理实践,知识产权法与创新保护,C++语言程序设计基础,生活英语听说",
49,Student47,"程序设计基础,创新创业基础,大学生心理健康教育,创业启程,通用学术英语,汉语文字词汇,高等数学,计算机文化基础1,中国近现代史纲要纲要,网络安全概述,大学物理,通用学术英语,高等数学,高技术与现代局部战争,Java程序设计,思想道德修养与法律基础,线性代数2,工程职业伦理1,大学物理,数理统计及概率论,理工学术英语1,马克思主义基本原理,数据结构,数字集成电路分析与设计3,生活英语读写,Python 交互式程序设计导论,设计的人因与文化,数学模型(特色),Web基础,大学计算机基础与应用,毛泽东思想和中国特色社会主义理论体系概论,软件工程,交互设计,数据库原理与应用,大数据系统基础,工程职业伦理,人工智能,软件理论基础,项目管理,移动应用开发拓展(Andrid),操作系统,计算机网络,跨平台脚本与开放平台技术,软件理论基础,数据挖掘：理论与算法,PLC应用技术,C++语言程序设计基础",
50,Student48,"工程职业伦理1,操作系统,程序设计基础,大学物理,高级语言程序设计,数理统计及概率论A,计算机网络,创新创业基础,理工学术英语1,软件理论基础,大学生心理健康教育,高级大数据系统,创业启程,马克思主义基本原理,数据挖掘：理论与算法,通用学术英语2,汽车理论,托福特色课程（特色）,汉语文字词汇,数据结构,大学物理B1,高等数学A2,高技术与现代局部战争,Java程序设计,思想道德修养与法律基础,汇编语言程序设计,线性代数2,工程职业伦理1,大学物理,数理统计及概率论A,理工学术英语1,马克思主义基本原理,汽车理论,数据结构,数字集成电路分析与设计,Web基础,大学计算机基础与应用,毛泽东思想和中国特色社会主义理论体系概论,软件工程,交互设计,数据库原理与应用,影视鉴赏,对外汉语,操作系统,高级语言程序设计,计算机网络,软件理论基础,高级大数据系统,数学建模,托福特色课程,大数据系统基础,人工智能,软件理论基础,项目管理,测试系统集成技术,工程职业伦理实践,知识产权法与创新保护,C++语言程序设计基础,微机原理与接口技术",
51,Student49,"程序设计基础,创新创业基础,大学生心理健康教育,创业启程,通用学术英语,汉语文字词汇,高等数学,计算机文化基础1,中国近现代史纲要纲要,大学物理,通用学术英语,高等数学,高技术与现代局部战争,Java程序设计,思想道德修养与法律基础,线性代数2,工程职业伦理1,大学物理,数理统计及概率论,理工学术英语1,马克思主义基本原理,数据结构,数字集成电路分析与设计3,Web基础,大学计算机基础与应用,毛泽东思想和中国特色社会主义理论体系概论,软件工程,交互设计,数据库原理与应用,女性修与养：女性运动、营养与健康,学在南哲：哲学与哲人,计算机辅助设计,金融工程,劳动关系实务操作,社会研究方法,操作系统,高级语言程序设计,计算机网络,程序设计基础,高级大数据系统,设计的人因与文化,数学建模,大数据系统基础,人工智能,软件理论基础,项目管理,测试系统集成技术,工程职业伦理实践,知识产权法与创新保护",
52,Student50,"程序设计基础,创新创业基础,大学生心理健康教育,创业启程,通用学术英语,汉语文字词汇,高等数学,计算机文化基础1,中国近现代史纲要纲要,大学物理,通用学术英语,高等数学,高技术与现代局部战争,Java程序设计,思想道德修养与法律基础,线性代数2,工程职业伦理1,大学物理,数理统计及概率论,理工学术英语1,马克思主义基本原理,数据结构,数字集成电路分析与设计3,Web基础,大学计算机基础与应用,毛泽东思想和中国特色社会主义理论体系概论,软件工程,交互设计,数据库原理与应用,文物精品与文化中国,英汉语言对比,操作系统,高级语言程序设计,计算机网络,软件理论基础,高级大数据系统,数据挖掘：理论与算法,电子政务,人工智能,数据结构,项目管理,测试系统集成技术,工程职业伦理实践,知识产权法与创新保护,大数据机器学习,保持身材的奥秘,营养与健康,动力学,逻辑思维与写作,跨文化影视作品赏析,生活英语进阶,日语与日本文化",
