,课程,知识点,相关课程
185,细胞生物学：细胞社会的奥秘,"细胞生物学,生物学,细胞的基本结构与功能,细胞信号转导,细胞周期与分裂,细胞分化与发育,细胞衰老与凋亡,细胞社会性与网络化,细胞病理学,细胞技术与应用","生物学,生物化学"
186,动力学,"基础力学,牛顿运动定律,平动动力学,转动动力学,平面运动,振动理论,系统动力学,非线性动力学,数据分析,MATLAB编程基础,计算机辅助设计","多元微积分,力学"
187,软件即服务 (SaaS) - 第 2 部分,"构建复杂SaaS应用,应用程序性能监控与优化,敏捷开发,团队协作,项目管理,设计模式,高级Rails框架特性",软件即服务 (SaaS) - 第 1 部分
188,催化剂设计与制备,"催化剂设计的基本原则,催化剂制备方法,催化剂的成型方法,工业催化剂的设计与制备,催化反应原理,催化剂设计,催化剂性能评估","有机化学,无机化学,物理化学"
189,印刷色彩基础与实务,"光谱与颜色感知,颜色的物理与生理基础,印刷油墨与纸张的光学特性,印刷色彩的叠加原理,印刷色彩的局限与补偿,色彩辨识与调校,质量测量与评价,色差公式",印刷概论
190,现代生活美学进阶,"插花之道,花香茶之道",现代生活美学
191,结核病,"结核病的历史,病因学,结核病的临床表现,结核病的流行病学,结核病的易感因素,免疫学,结核病疫苗,结核病的诊断,结核病的治疗,非结核分枝杆菌感染,结核病的公共卫生管理",
192,揭开潜意识心理的奥秘,"元认知理论,潜意识心理过程,常见心理问题,心理障碍,元认知智慧,自我调控",
193,法律人看婚姻家事,"婚姻法,人身关系,财产关系,法律干预,家庭暴力与法律保护,离婚后的法律问题,特殊家庭关系的法律处理,国际婚姻,涉外家庭事务,婚姻家庭法律,社会变迁",
194,学做小程序,"小程序基础概念,框架结构,数据绑定,动态渲染,模块化,数据缓存,生命周期,常用组件与API,小程序发布与优化",Web基础
195,实用绳结技术,"绳结历史与文化,绳索与绳结基础知识,基本绳结,功能性绳结,航海专用绳结,绳结的检验与安全",
196,轮机自动化,"轮机自动化基础,轮机自动化系统,传感器与执行器,自动化设备与成套装置,软件模拟,系统集成",
197,丝路南线民间文学,"丝路南线概览,民间文学,神话符号在丝路南线上的衍化,丝路南线上的多民族神话,丝路南线上的民间传说,丝路南线上的民间故事,丝路南线上的民歌,丝路南线上的民间谚语,中华文化,文学",
198,马克思主义基本原理,"物质世界及其发展规律,矛盾的普遍性与特殊性,质量互变规律与否定之否定规律,运动与静止的相对性,物质世界的普遍联系与永恒运动,实践与认识的辩证关系,真理的客观性与相对性,理论与实践的统一,社会存在与社会意识的辩证关系,生产力与生产关系的矛盾运动,经济基础与上层建筑的相互作用,社会形态的更替与历史发展的动力,阶级斗争与社会革命的作用",
199,社会责任地产开发：学习使用影响评估工具,"社会责任地产开发的概念,社会影响评估,环境影响评估,社会责任地产项目的原则与策略,价值创造,风险管理",经济学
200,力学与现代生活——开启科学人生,"力学在人类科学与技术发展中的作用,人类科技发展历程及其与力学的互动,力学,地震现象与力学解释,材料工程,静力学,机械振动与声学,流体动力学",
201,民法与生活,"民法,人身权利,财产权利,侵权责任,合同法,物权法,婚姻家庭与继承,知识产权,消费者权益保护,民法的精神与理念",
202,Hello心理学,"心理学,心理学发展历史,心理学研究方法,认知过程,社会性发展,心理学应用,心理健康,心理疾病,个人成长,自我实现",
203,计算机网络,"计算机网络基础,互联网的发展,网络基础知识,网络协议,计算机网络,互联网的架构,技术变迁,拓扑结构,网络设备,TCP/IP协议,局域网,VLAN,虚拟网络,介质访问控制,传输介质,物理层设备,数据链路层,封装,错误检测,IP地址,路由算法,流量控制,拥塞控制,Web服务器,网络安全与加密,网络编程,I/O,并发编程,网络抓包工具使用,交换机,路由器,网络设备,交换机配置,VLAN划分",计算机组成原理
204,心理学与生活,"色彩心理学,心理学,记忆的奥秘,人格心理学,情感与情绪,人类行为分析,行为主义理论,社会认知理论,决策过程,条件反射",
205,妇女健康和权益,"女性生命全程的健康与权益,社会经济与政治因素对女性健康的影响,人权视角下的女性健康,贫困与女性健康,教育与女性健康,HIV/AIDS与女性,生殖健康,计划生育,家庭与社会暴力,战争与冲突对女性健康的影响,女性劳动与健康,老龄化与女性健康",
206,手把手教你心理咨询：谈话的艺术,"心理咨询概览,心理学,沟通技巧,情绪管理,解决问题的对话,人际关系与界限,自我成长,心理调适,自我认知,自我接纳",
207,云计算与软件工程,"SaaS与云计算,敏捷开发,Ruby on Rails框架,行为驱动设计,测试驱动开发,快速及结对编程,单元测试,集成测试,系统测试",
208,学在南哲：哲学与哲人,"哲学,哲学基本问题,南京大学哲学系历史,伟大学者,改革开放理论,马克思主义哲学,西方哲学史,科学方法与理论验证,伦理学,道德哲学,存在与本质的探讨,知识论",
209,大学生心理健康教育,"大学生心理健康标准,自我意识发展,情绪情感调节,人际关系调适,人际交往,自我认知,自我接纳,性心理,恋爱心理维护,学习与创造心理,健康人格塑造生命教育,心理危机干预,大学生生涯规划",
210,主题英语,"语言学,常用句型,语篇逻辑,主题探究",
211,自动化专业概论,"自动化科学与技术概览,自动化技术,自动控制理论基础,数学模型,数值解法,数字仿真,最优化技术,智能优化方法,自动控制系统设计,控制律与应用,过程参数检测,控制装置,自动化技术的前沿发展,物联网,云计算,新型检测技术","高等数学,复变函数及工程变换"
212,医疗器械与医学创新,"医疗器械基础知识,心血管疾病专用器械原理与应用,医疗器械的安全性与有效性评估,心血管疾病流行病学,心血管疾病诊疗技术革新,医学创新路径,临床问题识别,解决方案设计,技术转化,商业化路径",
213,循环经济与可持续发展型企业,"循环经济基础理论,循环经济,物质循环流动分析,物质流分析方法,生命周期,可持续发展,循环经济实施策略,可持续发展型企业构建,商业模式,科研能力,人才培养",
214,电动力学（上）,"电磁学基础,静电学基本定律,磁场与磁感应强度,高斯定理,安培环路定律,电磁感应,法拉第定律,麦克斯韦方程组,电磁能量与动量守恒,麦克斯韦方程组的微分形式与积分形式,矢量分析与场论,格林定理,斯托克斯定理,拉普拉斯方程,泊松方程,电磁波与波动方程,平面电磁波的性质,波动方程的解与边界条件,波导与天线基础,电磁波的偏振与干涉,静电场,稳恒磁场,静电场的边值问题,静电屏蔽,磁屏蔽原理,电磁感应的高级现象,电磁场的能量与动量,电磁场的能量密度,能流密度,电磁场的动量与压力,Poynting矢量,电磁波的能量传输","大学物理,力学,微积分,复变函数,多元微积分"
215,电动力学（下）,"特殊相对论,电磁学,辐射,电磁波,电磁场的量子理论,电磁场的边界条件,镜像法,电磁场的多极展开,电磁场的能量,动量流,Poynting矢量,电磁场的动量,动量流密度,边界条件,天线理论,辐射模式","电动力学（上）,大学物理,力学,微积分,复变函数,多元微积分"
216,工程热力学（上）,"热力学平衡与过程,热力学第一定律,热力学第二定律,理想气体的性质与过程,气体动力循环,热机与制冷机原理,卡诺循环与卡诺定理,循环效率与性能比较,朗肯循环,布雷顿循环分析","高等数学,大学物理1 (力学、热学),微积分"
217,工程热力学（下）,"实际工质的性质与过程,蒸汽动力循环,水蒸气的性质与热力图表,再热循环与回热循环,实际蒸汽动力循环的效率分析,制冷循环,湿空气与空调,热力学微分关系式,热力学第一定律,热力学第二定律,化学热力学基础,麦克斯韦关系,函数,吉布斯-杜亥姆方程","工程热力学（上）,高等数学,大学物理1 (力学、热学),微积分"
218,大学英文写作（上）,"写作过程,学习规律,写作规范,写作方法与技巧,论说文写作,实用写作",
219,环境污染事件与应急响应,"重大环境突发事件案例分析,环境污染事件的背景与原因,应急响应措施,生态环境影响,责任追究,法律框架,环境应急管理体制与机制,环境应急管理体系的内涵与特点,我国环境应急管理的现状与展望",
220,交互设计,"交互设计概述,交互设计原理,用户研究,设计方法,信息架构,界面设计,产品测试与迭代,测试策略与方法,原型设计,信息架构的原则,交互设计流程,过程模型",
221,有机化学,"有机化学基础理论,烃类化合物,立体化学,醇、酚与醚,醛、酮与醌,羧酸及其衍生物,羟基酸和羰基酸,胺与杂环化合物,有机合成实验,有机分析,可视化","无机化学,物理化学,大学物理"
222,劳动关系实务操作,"职业认知与劳动法律基础,劳动标准实施,员工入职与建立劳动关系,履行和变更劳动关系,解除与终止劳动关系,劳务派遣与非全日制用工,员工参与与企业文化,劳动规章制度管理,处理劳动争议,管理策略",
223,邮票上的昆虫世界,"昆虫分类学基础,昆虫生态学,生态学,昆虫行为学,昆虫与人类文化,昆虫邮票的历史与艺术,特定昆虫的文化意义,昆虫保护与生物多样性,多样性,邮票设计,昆虫的象征意义",生物学
224,智能时代下的创新创业实践,"智能时代背景与机遇挑战,创业能力模型,创新能力培养,人工智能,创新能力,技术能力,商业能力,创新能力,智能技术,产品转化,计算思维,编程基础,机器学习,互联网,智能技术,产品开发,原型制作,商业模式设计,市场营销,项目管理",
225,创新创业基础,"创意生成,创造思维,创意激发,头脑风暴,创意思维,设计思维,产品设计,开发流程,产品与服务创新,市场需求分析,用户洞察,创业准备,计划制定,财务规划,资源获取,创业精神,团队合作,竞争分析,SWOT分析,战略规划",
226,循证医学,"循证医学总论,临床指南的制定与应用,临床科研方法学,临床研究证据的评价标准,临床实践中发现,PICO框架,问题的文献检索,证据整合,系统综述,Meta分析,适用性与局限性,数据收集,统计分析,文献检索,证据整合",
227,数据库系统原理与开发,"数据库系统概述,数据模型,数据库系统的定义,数据库管理系统,关系代数,关系完整性约束,SQL语言,关系数据库理论,数据库设计,需求分析,ER模型设计,ER模型转换到关系模型,数据库规范化理论,数据库安全性,用户认证与授权机制,数据加密与解密技术,数据库事务,并发控制,数据库备份与恢复,数据库性能优化,日志文件,恢复技术,索引设计,查询优化,数据库应用程序接口,数据库与Web应用的集成,大数据与NoSQL数据库","计算机操作系统,数据结构,Java程序设计"
228,电力市场概论,"经济学基本原理,经济学,供需理论,价格机制,成本效益分析,中长期市场机制,现货市场机制,市场清算,结算流程,辅助服务市场机制,频率控制,旋转备用,电力金融市场机制,风险管理,市场监管方法,信息披露,透明度要求,市场准入,博弈论,负荷预测,报价决策,电力市场技术支持系统,数据通信,信息安全,中国电力市场建设,能源转型,绿色电力市场,电力体制改革,市场建设","电动力学（上）,电动力学（下）"
229,思想道德修养与法律基础（中南大学）,"世界观,人生观,价值观,马克思主义基本原理,社会主义核心价值观,理想信念的重要性,爱国主义,民族精神教育,公民道德教育,公民全面发展,素质教育,法律素养,法治思维,中国特色社会主义,法律权利与义务,理论联系实际,个人思想与社会现象","知识产权法与创新保护,思想道德修养与法律基础,思想道德修养与法律基础"
230,病理生理学,"疾病概论,基本病理过程,各系统病理生理学,生理学,心血管系统,呼吸系统,消化系统,泌尿系统,血液系统,内分泌系统,神经系统",
231,药物化学,"药物设计与发现,药物设计原理,药物合成与制备,方法学,合成技术,有机合成,药物化学性质,药物与生物靶点的相互作用,药物评价与优化,新药研发流程","有机化学,生物化学"
232,汽车行走的艺术,"车的基本概念,车轮的发展历程和人力车的历史变迁,马车和马车礼仪,蒸汽机和蒸汽汽车,内燃机和内燃汽车,电动汽车的发展历程与技术演变","电气控制技术,电机"
233,基因工程,"基因工程的基本概念和原理,目的基因的获得,基因克隆的工具酶与载体,重组子的鉴定与表达,基因测序技术,基因组学,基因工程的应用,基因工程实验操作技术,DNA提取","生物学,微生物学"
234,青年AI自强计划-计算机视觉课程,"AI鸟瞰与进阶指南,机器学习,特征工程,模型评估,神经网络,梯度下降,优化算法,深度神经网络,卷积神经网络,分类任务,探测任务,调参方法",
235,药剂学,"药物制剂的基本概念,药物制剂的处方设计,药物制剂的基本原理,药物制剂的制备工艺,药物制剂的质量控制,药物制剂的合理应用,新型药物递送系统,药剂学的法规与标准","无机化学,物理化学,分析化学,有机化学,药理学"
236,工业企业消防安全,"防火防爆基础理论,常见工业设备安全,行业特定的火灾风险,生产基本原理,火灾特点,物质性质,化工厂设计与安全,装置操作与安全规律","消防燃烧学,固定消防设施"
237,建筑消防安全,"消防识图与制图,固定消防设施,建筑消防设计与评估,火灾风险分析,消防法律法规","消防识图与制图,固定消防设施"
238,灭火战术,"防火防爆基础理论,火灾特点,灭火战术基本理论,灭火战斗原则,灭火组织指挥,灭火战斗行动,火场侦察,火情评估,灭火业务基础建设,灭火应用计算,灭火战术训练,灭火战斗保障",
239,消防燃烧学,"防火防爆基础理论,火灾风险分析,燃烧学基础理论,火焰传播,火焰结构,燃烧热力学计算,燃烧动力学,燃烧与消防工程应用,燃烧安全,风险管理,实验教学,实践操作",
240,消防应急救援,"应急救援基础理论,固定消防设施,建筑消防设计与评估,化学事故救援,交通事故救援,建筑物倒塌救援,结构稳定性评估,车辆稳定与破拆技术,自然灾害救援,灾害,特种救援技术,应急救援法律,实战案例与演练",
241,汉语文字词汇,"语言学,汉字的起源与发展演变,汉语词汇的基础理论,汉语本体理论,分析方法,实践应用技巧,汉语词汇,教学策略","现代汉语,古代汉语知识"
242,Python 交互式程序设计导论,"Python编程基础,函数,模块,面向对象编程,类与对象,封装,继承,多态,文件与异常处理,文件读写,日志记录,调试技巧,游戏设计与开发,数据结构,计算机科学思维,抽象与模块化,算法分析与复杂度,逻辑思维,项目开发,团队协作,项目规划,时间管理",高等数学
243,生物医药实验室安全知识,"化学,生物学,医学,中药学,药学,实验室安全隐患识别,安全知识,电气安全,水和气安全,灭火战术基本理论,化学试剂安全,生物试剂安全,危险应急",
244,市场营销技能,"市场营销概论,消费者行为分析,心理学,社会学,市场调研,数据分析,营销环境,SWOT分析,互联网,市场趋势,生命周期,开发流程,定价策略,价格竞争,电子商务,物流管理,供应链优化",
245,中国古代文学,"历史,先秦文学,秦汉文学,魏晋南北朝文学,文学",
246,中华诗词经典吟唱,"文学,诗词与音乐的历史,古诗词吟唱艺术,古乐谱与诗词吟唱,诗词吟唱的现代传承,诗词意境与音乐表达",
247,电路原理,"电路基础,欧姆定律,基尔霍夫定律,电路分析方法,电路的暂态分析,交流电路分析,三相电路,磁耦合电路,变压器,电路的频率响应,直流电路,交流电路,滤波器,谐振电路,非线性电路","高等数学,大学物理"
248,应用语言学理论与实践,"语言学,语言教学理论,二语习得理论,教学法流派,语言教学中的文化,教学实践与案例分析",现代汉语
249,钻井与完井工程,"井身结构设计,钻井液,钻井液工艺技术,岩石与钻头,钻井工艺技术,井控技术,井眼轨迹测量,控制技术,固井,完井方法,储层保护技术,环境保护与HSE","石油工程测井,工程流体力学,石油工程岩石力学"
250,史学名家的治史历程与方法,"历史,陈垣生平,白寿彝的史学,刘乃和,何兹全与大时代,刘家和先生历史",
251,药物分析,"药学,药物分析,药物的鉴别试验,药物的含量测定,药物杂质分析,药物稳定性研究,生物样品分析,药物分析法规与标准,药物分析新技术,高效液相色谱-质谱联用,核磁共振,生物传感器,纳米技术","分析化学,有机化学"
252,数据科学导论,"数据科学基础理论,数据采集,预处理技术,数据分析,可视化,机器学习,预测模型,数据伦理,法律框架",
253,Linux导论,"Linux操作系统概览,Linux发行版介绍,Linux图形用户界面,文件管理,Linux命令行,文件系统,目录结构,进程管理,系统监控,包管理,软件安装,文本处理,脚本编写,网络配置,系统维护,日志文件",
254,动态测试与分析（上）,"动态信号特征,内积变换原理,信号分析,信号分析中的数学简化,内积变换的统一性,傅里叶级数和变换,动态信号,故障预警和诊断","高等数学,大学物理——振动、波动与光学"
255,动态测试与分析（下）,"动态信号内积变换原理,信号分析中的函数比对,傅里叶级数与变换,小波变换,随机信号分析,机械故障诊断,高级信号处理技术,信号分析,动态信号","高等数学,大学物理——振动、波动与光学,动态测试与分析（上）"
256,定性研究方法,"定性研究概述,定性研究,哲学,研究设计,数据分析,理论构建,定性软件使用,报告撰写,伦理考量",社会研究方法
257,创业学,"创业潜能,商业创意发掘,创业计划撰写,融资与资金管理,战略规划,团队协作",
258,运动与减脂塑形,"基础代谢率,肌肉的作用,训练方式,肌肉解剖学,训练动作,营养与饮食,训练计划,目标设定,心理调适,动机维持",
259,运动与慢病防治,"颈腰椎疾病,心脑血管疾病,骨质疏松,过敏性哮喘,慢性胃肠道疾病,经前综合症,训练动作",
260,数学建模,"数学建模基础,建模思维,优化模型,线性规划,整数规划,动态规划,网络流模型,决策分析,层次分析法,决策理论,决策树,层次分析法,时间序列分析与预测,回归分析,预测模型,人口预测,控制模型,数据挖掘,机器学习,团队协作",
261,材料现代研究方法,"X射线衍射分析,电子显微分析,微观结构,晶体结构","材料科学基础(上),高等数学,线性代数,大学物理"
262,运动与体能提升,"体力活动与健康,心肺功能,力量训练,柔韧性训练,体能训练,运动营养,训练方式,训练动作",
263,武术与强身避险,"中国武术,文化,近身十战,远身十战,武术文化与精神传承,历史,哲学,强身健体,防身技巧,风险意识",
264,信息技术与教育应用,"信息技术基础,软件应用,数据存储,网络技术,网络基本操作,教育技术工具,信息技术,信息检索,数据分析,可视化,团队协作,教育政策与伦理,无障碍技术",
265,运动与关节健康,"训练动作,关节结构与机能,解剖学,关节健康与疾病,损伤预防,康复性运动,营养与饮食",
266,中国近现代史纲要,"近代中国的社会性质,中国的历史任务,救亡图存与民族觉醒,新民主主义革命的兴起,抗日战争,解放战争,社会主义制度,改革开放,中国特色社会主义,中国近现代史,思想解放",
267,设计的力量,"设计历史概览,设计与国家经济转型,设计与自主创新,品牌形象塑造,社会文化,文化,可持续发展,人才培养",艺术简史
268,创业导引——与创业名家面对面,"创业入门知识,融资与资金管理,战略规划,团队协作,创业心态,产品设计,市场定位,商业模式,融资与财务规划,市场营销,品牌建设,企业文化,人才管理,法律与伦理,职业规划",
269,藏语言文字学概论,"语言学,藏语概述,字母与书写,藏文的发展历程,语音与语法,藏文文献,文化,现代化,信息技术",
270,创业领导力：美国宇航局的4D卓越团队明星课,"团队协作,团队建设,团队构成,角色分配,团队文化",
271,创业实践案例课程,"创业起步,机遇识别,商业模式,竞争策略,市场定位,组织变革与管理,企业文化,危机管理,团队建设",
272,科举与唐诗,"文化,中华文化,科举制度的起源与发展,唐代科举制度的特点,唐代以诗取士的历史背景,中原文化与科举诗,唐代的行卷诗,唐代应试诗的形式与命题",
273,创业私董会,"方法论,创新领导力,团队共识与执行力,创业起步,机遇识别,商业模式",
274,牙周病学,"牙周组织,解剖学,生理学,牙周病,牙周病的病因学,牙周病的诊断,牙周病的治疗,牙周病的预防,牙周病与全身健康的关系",
275,复盘：让创业不败的方法论,"方法论,复盘的起源与概念,复盘在企业中的应用,复盘的意义与价值,复盘的步骤与方法,复盘的挑战与应对策略,复盘与创业,市场策略",
276,创业成功第一步：写好商业计划书,"商业计划书,创业计划撰写,商业计划书的陈述与展示,商业计划书的评估与完善,融资与投资者",
277,万众创新第一课：创新总论与技术产业化,"创新策略,技术创新,创新的历史,创新生态系统,技术产业化,市场接受度,创新领导力",
278,创业102：你能为客户做什么,"客户需求分析,产品开发,市场定位,价值主张,销售策略,竞争分析,技术创新",
279,项目管理,"项目管理概述,项目整合管理,项目范围管理,项目时间管理,项目成本管理,项目质量管理,项目人力资源管理,项目沟通管理,项目风险管理,项目采购管理,项目选择与评价,项目计划与控制,项目执行与监控,团队管理,团队协作",
280,创新创业心理学,"心理学,心理素质,动机与激励理论,压力管理,情绪调节,团队心理,决策心理学,积极心理学",
281,创业失败：原因与出路,"心理素质,创业失败的统计与现实,失败的典型原因,心理调适,创业失败的法律与财务考量,创业失败的长期影响与对策",
282,冰壶运动,"冰壶运动起源与发展,运动,冰壶场地与器材,冰壶技术原理,冰壶战术",
283,固体废物处置与资源化,"循环经济基础理论,物质循环流动分析,可持续发展,循环经济实施策略,可持续发展型企业案例研究,科研能力,人才培养","微生物学,无机化学"
284,商学导论：10节课带你走进商业世界,"市场需求与供给,市场竞争,生命周期,企业治理,社会责任,财务管理,市场营销,品牌管理,人力资源管理,技术管理,运营管理,全球化,跨文化,经济学",
285,组织行为学——如何有效管理员工行为,"组织行为学,个体行为分析,群体行为,团队建设,领导力与管理风格,激励与奖励机制,激励理论,组织文化与变革,员工关系,人力资源管理,员工动机与激励,领导力与管理风格,团队建设与冲突管理,组织文化与氛围,绩效管理",心理学
286,灾害风险管理,"灾害风险,灾害风险管理概论,风险管理,灾害风险识别与度量,损失分布,风险估计,区域自然灾害风险评估模型,生命统计价值评估,地震灾害风险分析,灾害风险,灾害风险管理,灾害风险管理与保险","高等数学,数理统计及概率论,经济学,管理学,灾害经济学"
287,现代生活美学——插花之道,"插花的艺术,哲学,东西方插花文化,插花操作技能,插花与自然的关系,个人修养,社交礼仪",
288,视觉语言,"艺术史,视觉艺术元素,构图与视觉语言,创意与个人风格,现代与当代艺术,艺术与社会,艺术创作,视觉艺术,数字媒体",
289,金融工程导论,"金融学原理,金融衍生品定价方法,结构化金融,产品设计,金融市场,风险管理,量化金融,数据驱动决策,蒙特卡洛模拟,数值方法","经济学,金融学原理"
290,习近平新时代中国特色社会主义思想：新发展理念,"新发展理念,以人民为中心的发展理念,创新发展,协调发展,绿色发展,开放发展,共享发展,新发展理念的实践与成效,中国特色社会主义",
291,孙子兵法,"孙子兵法的历史背景,孙子兵法的结构与内容,战略思想,战术原则,商业战略,中华文化",
292,走进性科学,"生物学,生殖系统的解剖与生理,性激素的作用与影响,心理学,性欲与性行为的心理学解释,社会学,性别角色与社会期望,性教育的社会重要性,性与人际关系的构建,文化、宗教与性观念,性教育学,性健康,疾病预防,安全性行为,避孕方法,心理健康,性健康的关系,恋爱、婚姻与家庭,性权利与性别平等,性别平等与反歧视政策,性骚扰与性暴力的防范,性别多样性的尊重与包容",
293,会计学原理,"会计学,会计核算基本方法,经济学,会计核算实务,会计的概念框架,会计规范,货币性资产,固定资产,无形资产,长期负债,所有者权益,长期投资,流动负债,收入、费用与利润,现金流量表与合并报表",
294,线性代数（简明版）,"行列式概念与计算,矩阵理论,向量空间与线性组合,线性方程组,相似矩阵与二次型,线性空间与线性变换",高等数学
295,唐史四讲,"历史,中华文化,唐朝的疆域与疆域观念,唐朝的南北兼跨及其限域,粟特及后裔墓志铭文书写的程式意涵,墓志铭映印下的唐朝河北粟特人“地著化”问题",
296,如何写好科研论文,"论文写作基础,论文撰写技巧,期刊投稿策略,文章推广与影响力提升,学术出版伦理,论文修改与润色,同行评审与反馈,写作",
297,影像中的人类学,"影视人类学的起源与发展历程,代表性人物与影像民族志作品,影视人类学的基本理论,社会学,传媒学,艺术创作,跨文化交流,伦理考量,文化敏感性",
298,中国少数民族神话赏析,"中国少数民族神话概览,神话的思想内涵,社会秩序,自然崇拜,艺术表现,艺术风格,中华民族多元一体的精神,文化,中华文化",
299,极速悟透3ds Max,"3ds Max界面,视图控制和导航,建模技术,曲面和NURBS建模,布尔运算和变形修改器,拓扑优化和细节雕刻,照明与渲染,材质与贴图,艺术理论,动画制作,虚拟现实,增强现实,BPR渲染",
300,职场菜鸟礼仪指南,"文化,形象礼仪,仪态举止礼仪,位次排列礼仪,会面交往礼仪,沟通联络礼仪,商务宴会礼仪,接待拜访礼仪,求职面试礼仪,商业演讲礼仪",
301,教你孕育健康宝贝,"生命的意义,两性健康,孕期管理,孕期保健与产检,心理健康,心理学,早期教育",
302,呼吸系统疾病,"呼吸系统的解剖与生理,生理学,流行病学,呼吸系统疾病的病因,呼吸系统疾病的发生机制,临床表现,诊断与鉴别诊断,治疗原则,预防与健康管理,康复与长期护理,医学人文与伦理",
303,大学计算机基础与应用,"计算机基础知识,操作系统,计算机网络,网络架构与协议,社交媒体,网络安全,办公软件,数据库,多媒体技术应用基础",
304,植物组织培养技术,"植物组织培养的基本原理,植物细胞,植物激素,植物组织培养,外植体选择与处理,微繁殖,基因型,环境因素,脱毒技术,遗传转化,基因工程,生物安全,法规框架,植物组织培养,质量控制,生物安全,商业化生产",植物生理
305,家庭理财,"经济学,财务管理,投资基础与策略,风险评估,分散投资,债务管理,税务筹划,保险规划,遗产规划,财富传承,紧急基金,风险管理,理财技能与工具",经济学
306,循证护理,"循证护理的基本概念,循证护理的要素,数据库,循证护理研究方法,伦理考量，护理学",
307,高级语言程序设计,"C语言基础,控制结构,数据类型,函数,模块化,指针,数组,结构体,联合体,动态内存管理,文件操作,文件流,文件模式,预处理器,高级编程技巧,递归函数",
308,电工电子技术,"电路基础,直流电路,交流电路,磁路与变压器,电动机,半导体器件,放大电路,振荡电路,数字电路,模拟与数字信号转换",大学物理
309,篮球——基本技术,"运动,身体素质,篮板球技术,持球突破技术,投篮技术,运球技术,接传球技术",
310,公共事务伦理,"伦理学,公共事务的制度伦理,公共管理者的道德,利益冲突,决策公正,腐败预防,廉洁行政,公共管理,伦理判断,跨文化",
311,中国古代建筑艺术,"艺术理论,中国古建筑的一般特点,宫殿建筑,园林建筑,寺庙建筑,祠堂与会馆,民居建筑",
312,风景园林艺术原理,"艺术理论,园林建筑,传统园林艺术概况,现代风景园林艺术概述,园林规划设计程序,空间构成,自然系统,人类社会","风景园林设计基础,园林植物学"
313,解读西夏,"文化,中华文化,西夏历史背景,西夏文化成就,社会制度,宗教信仰,文字与文献,军事与外交,艺术与生活",
314,界面设计导论,"GUI（图形用户界面）设计与制作方法,H5网页设计与制作方法,HTML5,CSS3和JavaScript,应式设计,网页布局,交互设计,媒体元素集成",Web基础
315,小白学人工智能,"人工智能,从数据、算法和计算力,深度学习,神经网络,CNN,图像风格迁移技术,深度学习,人工智能思维,抽象思维,机器学习",
316,日语与日本文化,"语言学,日语语音,基本句式,用言的词尾变化,助词和助动词,日本文化,生活习俗,中国文化,中日现代交往中的矛盾现象,跨文化,中日文化差异",
317,流体机械基础,"流体机械,流体机械结构和工作原理,转轮能量转换原理,相似理论,无量纲参,空蚀、磨蚀与腐蚀,性能曲线,运行特性,多相流动多场耦合特性综合分析,标准化,质监与工业流程","高等数学,工程流体力学,力学"
318,程序设计基础,"程序设计语言,程序设计,程序设计,C/C++语言,结构体,算法思想,排序算法,查找算法,递推算法,动态规划,递归算法,文件创建,读写操作,编程实践,计算思维训练",
319,房地产开发与经营,"房地产发展,房地产开发,房地产经营,经济学,市场调研,营销策略,价格制定,销售管理,物业管理,市场调查,可行性研究,风险分析,市场风险,法律风险,财务风险,营销策划,房地产法律法规,房地产会计与金融",
320,建设项目管理,"工程建设,工程进度控制,质量控制,成本控制,安全管理,环境管理,合同管理","土木工程材料,工程经济学,经济学"
321,大数据与城市规划,"大数据,数据获取,数据分析,可视化,城市系统分析,规划类型的应用,最新前沿介绍",
322,PPP理论与实践,"PPP基本概念,PPP操作模式,项目属性,政策环境,风险管理,立法探讨,经济评价,PPP实践,国际PPP发展借鉴,项目管理,PPP相关领域的综合理解",
323,服装大师的设计历程,"艺术史,英国设计师,法国设计师,意大利设计师",
324,大学生国家安全教育,"习近平总体国家安全观,国家安全战略,安全管理,国家安全法治,国家安全职能",
325,医学文献检索,"医学,学信息检索,医学基本知识和基本技能,中文医学文献数据库检索,数据库,PubMed检索,Web of Science检索,引文分析,期刊影响因子",
326,商务礼仪与沟通艺术,"求职应聘礼仪,个人形象仪表,商务会谈礼仪,商务通讯礼仪,会面与名片使用",
327,电气控制系统装接与调试,"电机与电控,PLC基础,变频器,电力电子,自控系统,电气控制系统的装接与调试","电工线路规划与实施,电子电路安装与调试"
328,会展策划与管理,"会展项目,市场调研,会展预算编制,财务管理,营销策略,会展项目组织,会展现场运营管理,会展项目后期管理,会展策划,管理的核心技能,行业标准,实务操作",会展概论
329,百年旅顺,"旅顺的历史背景,近代旅顺的屈辱历史,社会变迁,历史遗迹与纪念地,历史,历史事件的现代意义,爱国主义教育",
330,影视鉴赏,"艺术理论,电影艺术,著名导演,艺术个性,电影作品,中外优秀电影作品鉴赏,电影批评,电影史,电影理论,社会文化",
331,中国民俗文化赏析,"文化,中华文化,人生仪礼,岁时节日,生产民俗,饮食民俗,服饰民俗,居住民俗,交通民俗,游艺民俗,信仰民俗",
332,逻辑思维与写作,"写作过程,实用写作,逻辑基础知识,逻辑思维训练,写作方法,论证与推理,批判性思维,高水平逻辑思维",
333,医学实验技术与方法新进展,"医学,医学科研,细胞生物技术,流式细胞术,分子生物学,免疫组化技术,药物基因组学,体内药物分析,生物信息学,数据库",
